Saved Date,Job Url,Job Title,Company Name
"7/6/25, 10:31 PM",http://www.linkedin.com/jobs/view/4124331363,"Strategic Sales Manager (Digital Business Transformation Solutions), Nordics",Publicis Sapient
"11/26/21, 7:59 AM",http://www.linkedin.com/jobs/view/2809468909,Bid Manager,Infomedia Sweden
"11/17/21, 7:06 AM",http://www.linkedin.com/jobs/view/2797321875,Bid Manager to join our Marketing and Sales team in Huskvarna,Saab
"2/14/24, 5:37 PM",http://www.linkedin.com/jobs/view/3765047465,Area Sales Manager - Sweden,Sherwin-Williams
"1/20/22, 12:25 AM",http://www.linkedin.com/jobs/view/2879613459,Projektledare anbud,AFRY
"6/16/23, 2:34 PM",http://www.linkedin.com/jobs/view/3636195455,Uthyrning och marknadsansvarig,SML Fastigheter i Nässjö AB
"2/7/23, 9:02 PM",http://www.linkedin.com/jobs/view/3462177230,Oakley Tech Rep - Sweden & Finland,EssilorLuxottica
"2/22/24, 8:17 AM",http://www.linkedin.com/jobs/view/3832061109,Belysningsprojektör,Vattenfall
"9/26/23, 8:03 AM",http://www.linkedin.com/jobs/view/3723213641,Tender Support,Ocean Infinity
"5/9/25, 1:29 AM",http://www.linkedin.com/jobs/view/4182492555,Junior Product Manager inom infrastruktur,Melbye Skandinavia
"9/1/24, 7:44 PM",http://www.linkedin.com/jobs/view/3964494009,Bid and Contracting Manager,Stella Rekrytering & Ledarskap
"12/3/21, 12:34 PM",http://www.linkedin.com/jobs/view/2793432757,Key Account Manager till SaaS-bolag inom träning & hälsa,Viola Biz
"9/8/24, 7:35 PM",http://www.linkedin.com/jobs/view/3968874618,"Avdelningschef Mobilitet, Plan och Landskap",Tyréns AB
"10/15/24, 6:46 AM",http://www.linkedin.com/jobs/view/4027004877,Senior Bid Manager ( Work Packages),AFNORD
"5/25/25, 6:22 AM",http://www.linkedin.com/jobs/view/4214701652,Projektledare med fokus på innovation i Totalförsvaret,Linköping Science Park
"4/29/24, 4:22 AM",http://www.linkedin.com/jobs/view/3817584324,Account Executive,Tendium
"2/28/24, 3:15 AM",http://www.linkedin.com/jobs/view/3840213597,Projektledare Anbud,Transdev Sverige AB
"1/20/25, 7:05 PM",http://www.linkedin.com/jobs/view/4026240814,Technical Project Manager,Nexer Group
"2/16/24, 3:01 AM",http://www.linkedin.com/jobs/view/3784084445,Bid Manager,B3 Consulting Group
"11/28/21, 12:58 PM",http://www.linkedin.com/jobs/view/2808009972,Commercial Account Executive (Nordics),Miro
"3/2/22, 5:26 AM",http://www.linkedin.com/jobs/view/2912244511,Uppdragsledande ljusdesigner,Light Bureau
"6/3/25, 10:22 AM",http://www.linkedin.com/jobs/view/4239374588,"Bid Manager, Data Driven Care - Tietoevry Care (m/f/d)",Tietoevry
"11/22/24, 7:41 AM",http://www.linkedin.com/jobs/view/3972051403,Anbudsansvarig,Jacobs
"8/3/22, 4:39 AM",http://www.linkedin.com/jobs/view/3200894494,Bid Manager - Southern Europe (m/f/d),TIER Mobility
"4/11/24, 12:39 PM",http://www.linkedin.com/jobs/view/3884267227,Bid/Sales Support till Max Matthiessen,Max Matthiessen
"1/31/22, 5:18 AM",http://www.linkedin.com/jobs/view/2900815487,Key Account Manager / KAM,Martela Group
"3/21/25, 12:22 AM",http://www.linkedin.com/jobs/view/4166230914,Ljusdesigner,Fagerhult
"1/14/25, 9:28 AM",http://www.linkedin.com/jobs/view/4113911887,Projektledare bygg och fastighet,Blacktjärn Aktiebolag
"4/23/25, 1:21 AM",http://www.linkedin.com/jobs/view/4207231022,Project Manager,Procruitment AB
"4/9/25, 8:35 AM",http://www.linkedin.com/jobs/view/4166307536,Projektledare,Infranord AB
"9/14/25, 9:47 PM",http://www.linkedin.com/jobs/view/4287919395,Public Bid Manager,PwC Sverige
"6/17/22, 4:27 AM",http://www.linkedin.com/jobs/view/3093955554,Junior Bid Manager Till Kinnarps,effektiv.se
"9/13/21, 9:57 AM",http://www.linkedin.com/jobs/view/2718195047,Anbudsansvarig / Bid Manager,Sono Sverige AB
"3/21/25, 7:44 PM",http://www.linkedin.com/jobs/view/4160357016,Bid Manager / Anbudsansvarig till Svefa i Stockholm,Svefa
"2/24/24, 4:53 AM",http://www.linkedin.com/jobs/view/3835149339,Säljkoordinator,Aura Light
"11/10/21, 12:28 PM",http://www.linkedin.com/jobs/view/2793353754,Bid Manager,Telia
